MS CPI GP COP FER FDI FII CMR BOT ER Repo IGR
0.1517 -0.0561 -0.1047 0.5597 0.1411 0.0807 0.3775 0.1228 -0.6238 -0.5874 0.4 -0.0014
0.0204 -0.1455 0.0382 1.488 0.4432 1.3016 1.0611 -0.2373 0.0955 -2.5413 -0.9086 2.1709
0.3106 0.2034 0.008 0.9882 0.5845 1.9085 -0.1889 0.6847 -0.2501 -1.5418 0.109 1.5211
0.6725 0.6306 0.573 1.3897 1.1624 0.723 -0.3712 0.6945 -1.0275 -0.5362 0.9346 0.8764
0.2103 0.1707 0.2014 0.3288 0.5903 1.0016 -2.2219 -0.2923 0.386 -0.7914 -0.806 0.3537
0.9723 0.8235 0.8297 -0.1268 0.142 -1.931 0.8151 -1.0282 -0.7059 0.8157 -1.1012 -1.3143
0.5698 0.5942 0.2798 0.7578 0.5161 -0.2302 0.3919 0.0485 -0.3247 -0.3015 -0.4134 0.5269
0.6852 0.5919 0.6072 0.8539 0.832 1.7971 -0.7831 -0.1047 -0.2597 0.1345 -0.6628 0.8986
-0.0331 0.0344 0.1084 0.2662 0.0208 1.1775 0.1044 0.854 -0.1766 -0.0882 0.8882 0.4494
0.9704 1.0282 1.2024 0.4674 0.5757 0.716 1.1094 0.9093 -1.2673 1.3237 0.1223 -0.8768
0.1201 0.2872 0.0224 0.0182 -0.1727 -1.0618 -0.3209 -0.192 0.0382 -0.0666 -0.2016 0.9449
-0.9046 -0.5742 -0.7838 -0.5238 -0.9227 -0.9524 0.1114 -0.4941 0.5809 0.1059 -0.0762 0.3972
-0.0358 -0.2018 -0.3079 -0.327 0.1764 0.4363 0.8811 -1.1298 0.5333 -0.4596 -1.322 0.5957
1.1273 0.9206 1.147 0.9649 1.1479 0.7825 0.2858 0.9923 -0.7796 1.2524 0.0468 -1.8211
0.7011 0.7302 0.9156 0.5716 0.5604 1.5738 0.8222 0.7976 -0.0648 -0.2164 0.2902 -1.1653
0.2719 0.2465 0.3732 0.815 0.1058 0.2143 -0.8652 2.2086 -0.3635 0.0742 2.3285 0.9439
0.1975 0.1013 0.4731 0.3355 0.1016 0.3958 1.1001 -1.064 0.572 -0.1507 -1.3609 0.1426
0.1788 0.1337 0.3751 -0.1172 0.0067 0.1655 -1.0056 0.8498 -0.1483 0.8074 0.0375 -1.4162
1.726 1.7968 1.7034 1.9048 1.9819 1.8222 0.6777 1.0789 -1.4252 -0.219 0.4389 0.1433
-0.1704 -0.2177 -0.024 -0.5821 -0.5163 -0.1682 -0.9836 1.0523 -0.2815 1.0184 1.415 -0.943
-0.5143 -0.5912 -0.5559 -0.1891 -0.9197 -1.9993 0.2603 -0.3098 0.8397 0.2755 -0.1949 -1.3637
-1.1651 -1.167 -1.5426 -1.2073 -0.6483 0.5786 -2.4806 -1.0272 1.3558 -0.3336 -1.4869 -0.5704
0.8073 0.8747 0.7154 0.6226 0.9768 -0.5427 0.7766 -1.559 -0.9511 0.3745 -1.6986 1.1064
1.1573 1.1978 1.0191 0.7979 0.9673 1.007 -0.4418 -0.194 -1.2286 0.5713 -1.2572 -0.5627
-0.1618 -0.1088 0.0069 -0.037 0.1121 0.228 0.5902 -0.7306 -0.0478 0.2337 -1.6758 0.5301
0.4439 0.3988 0.3501 0.3925 0.2027 -0.1267 -0.0877 -0.8758 0.0874 -1.4572 -2.2101 1.3869
0.2378 0.1252 0.1933 0.303 0.5595 0.1073 0.2658 0.7503 -0.7164 0.6894 0.5048 0.4155
-0.8566 -0.765 -0.8745 0.1208 -0.729 -0.3005 1.6618 0.2898 -0.1476 -1.4711 0.8985 1.5324
1.1647 1.3494 1.3336 1.275 0.7934 -0.0488 0.6359 1.0476 -1.4889 0.1888 0.736 0.2832
0.4427 0.2198 0.8766 -0.109 0.058 -0.0188 -1.3709 1.409 -0.532 1.0881 0.6441 -0.8748
0.3192 0.6312 0.3674 0.5979 0.5359 -0.228 0.1387 1.4819 -1.3365 1.2108 1.7163 -1.7216
-0.706 -0.6622 -0.3949 -0.2245 -1.2562 -0.2648 -0.1281 1.0347 0.7626 0.0832 1.1912 -0.9316
2.7082 2.3511 2.7594 2.0628 2.4501 2.0962 0.7054 1.422 -2.5887 1.1448 0.4487 -1.2564
-0.8792 -1.1924 -1.3022 -0.2491 -0.1944 0.6839 -1.3866 -0.5431 1.3491 -1.9766 -0.1764 0.0156
-0.2037 -0.1002 -0.0826 -0.7333 -0.8095 -0.328 0.1946 0.6654 0.0859 0.3014 0.7079 -0.4312
-1.3517 -1.4876 -1.0278 -1.5559 -1.0868 -0.5737 -0.2732 -0.3069 1.2318 -0.2143 -0.4155 -1.3712
0.3568 0.1825 0.2504 0.0086 0.6105 0.3423 -1.4527 -0.4491 0.4557 0.4858 -0.3693 -0.6602
0.7358 0.3122 0.7453 0.0427 0.4101 0.2582 -1.1602 1.597 -0.0467 1.2545 0.8422 -1.5235
3.1698 3.1062 2.9352 2.2155 3.0335 2.1431 1.4917 0.8615 -2.2473 1.6603 -1.0724 -0.699
-1.6199 -1.7646 -1.6685 -1.2874 -1.3657 0.4163 -2.0545 -0.9333 0.9927 0.65 1.4828 0.6763
-0.1856 -0.202 -0.0386 -1.0028 -0.2652 -1.5126 -0.1514 -1.7764 0.3079 0.5163 -1.6648 -0.936
1.9589 2.1405 2.1688 1.5173 2.0917 2.1583 0.487 1.5493 -2.1079 1.6934 0.1059 -1.5568
0.2588 0.2266 0.713 0.8763 0.6604 1.2497 0.2811 0.4466 -0.0991 0.4097 1.0051 0.0268
-1.3148 -1.2494 -1.1996 -0.9899 -1.7385 -1.0139 -0.7986 0.6474 1.1897 0.1269 1.7638 -0.5078
-2.3094 -2.0942 -2.0798 -1.8184 -2.1403 -1.5139 -0.8159 0.278 2.3152 -0.8242 0.438 0.417
0.5297 0.6787 0.8193 0.1182 -0.0043 -0.9522 -0.1796 1.7624 -0.6708 1.9196 2.0213 -0.403
-0.0604 -0.1531 0.0374 0.6223 0.3692 1.1241 -1.5779 1.4076 0.084 -0.3696 1.041 0.1152
0.7549 0.7838 1.067 0.4837 0.5942 1.1084 -0.7541 1.5939 -0.3375 0.6908 0.4488 -0.6143
-0.8514 -0.734 -0.8795 -0.8471 -0.7623 -0.1915 0.1233 -0.415 0.9296 0.1386 -0.1684 -0.0182
-0.3625 -0.2666 -0.5028 -0.5173 -0.1578 -0.8049 0.9894 -0.0699 0.1313 -0.2513 0.7938 0.8869
-0.0997 0.061 -0.0472 -1.1711 -1.1706 -2.1935 0.5793 -1.0291 0.4029 1.1708 -0.9672 -1.3278
-0.9843 -1.0373 -1.0879 -1.143 -0.6988 -0.6185 -0.0479 -1.2118 1.6248 -1.4819 -1.2598 -0.8151
1.887 1.9301 1.9603 1.9922 1.7891 1.2134 2.4674 0.4324 -1.9865 -0.1321 -1.1315 0.3398
-1.3005 -1.4324 -1.4339 0.0527 -0.3644 -0.7353 0.0828 -0.637 1.0674 -2.3702 -0.6479 1.7995
-0.6563 -0.4721 -0.552 -0.5645 -0.4531 0.3135 0.3458 -0.8795 0.0414 0.4563 -0.2153 -1.1748
-1.1789 -0.9381 -1.1469 -0.6744 -0.8369 -0.3132 0.0993 0.0061 0.1955 -0.7566 0.6356 0.2782
0.1427 0.2286 0.302 0.0552 -0.2715 -0.8554 0.513 -0.2691 -0.2595 0.8926 0.2596 -0.38
-0.2683 -0.3605 -0.3707 -0.0983 0.3347 0.0766 0.9826 -0.3559 0.1217 -1.1093 -0.4066 0.6358
0.3874 0.1194 0.3723 -0.7353 0.2198 0.9541 -0.0196 0.3049 -0.1548 0.7536 0.6967 -0.9679
-0.372 -0.5428 -0.3603 -0.6627 -0.263 0.0861 -1.6279 -0.4832 0.3679 -0.1431 -0.8176 0.1157
0.347 0.2308 0.1068 0.9449 0.6721 1.4696 -0.4552 0.2161 0.2218 -0.5748 -0.9363 -0.0108
2.3074 2.485 2.5319 1.2103 1.5094 1.1724 1.136 0.8609 -2.2604 2.3588 0.317 -0.162
0.4989 0.4564 0.3601 0.8184 0.5198 0.3186 0.3594 0.4788 -0.6087 -0.4133 0.7388 0.3646
-0.3599 -0.315 -0.3803 -0.8483 -0.7077 -1.2318 -0.2206 0.4053 -0.1454 1.2507 1.2554 -0.5494
-0.0402 0.0881 -0.0476 0.8752 -0.0812 -0.9991 0.5144 1.6121 0.0214 -0.5551 2.0641 -0.3317
0.4371 0.2372 0.208 0.4367 0.9927 0.5438 1.8037 -0.4366 -0.4395 -0.0725 -0.7058 -0.8832
-1.5117 -1.4787 -1.5859 -1.2014 -1.3812 -0.6907 -0.6137 -1.3533 0.9798 -0.5983 0.0782 0.4311
0.5976 1.0452 0.6712 0.5096 0.102 0.278 1.6132 1.2923 -0.6052 0.2954 1.8608 1.03
0.1268 0.2469 0.2052 0.8696 -0.0716 0.757 0.4582 0.3484 -0.7501 -0.0784 0.4408 0.975
-0.2706 -0.2765 -0.06 -0.6631 -0.5934 -0.7213 -0.4622 0.6072 0.2194 0.7034 0.6746 -0.9704
-1.3692 -1.3572 -1.3772 -0.4017 -0.767 0.563 -0.4069 0.0847 1.1497 -1.3295 1.0119 2.1195
-0.7911 -0.9085 -0.7741 -0.4244 -0.5813 -1.8366 -0.29 -1.8349 1.3759 -1.2204 -0.36 0.5225
0.0176 0.187 -0.0937 -0.1992 0.0299 -0.3631 1.0711 -0.9083 0.2877 0.8047 -0.1507 0.1244
0.4405 0.3578 0.3237 0.0229 0.9426 -0.4886 2.0822 -1.2395 -0.546 -0.5483 -0.662 -0.2599
-1.2715 -1.2706 -0.9807 -1.9409 -1.5434 -1.9857 -1.5119 -1.398 1.5237 0.4982 -0.9668 -2.4417
0.6054 0.6691 0.8648 0.5166 0.1147 -0.1509 0.4441 1.1595 -0.7643 0.1682 0.2246 0.1613
1.1675 1.3518 1.2109 0.5107 0.7059 0.7465 0.2648 0.5932 -1.0159 0.6054 -0.0523 -0.5335
-1.758 -1.681 -1.5183 -1.5303 -1.3934 -0.8028 -0.7319 0.4546 1.3361 0.4638 1.9243 -0.1106
-1.2199 -1.1586 -1.2316 -1.105 -0.8623 -0.1334 -0.8158 -0.1014 0.5061 -0.2302 0.4165 0.8122
1.2132 1.1257 0.949 0.9513 1.0411 0.3212 1.6135 -0.3153 -1.3368 1.4377 -1.3101 -1.0435
-0.417 -0.262 -0.2425 -0.1415 -0.4698 -0.215 -1.8488 1.428 0.2984 0.2941 1.6442 0.0669
-0.6947 -0.7878 -0.7865 -0.9994 -0.484 -0.8853 0.13 -1.3202 0.7479 -0.5363 -1.3146 -0.244
-2.0952 -2.1427 -2.069 -1.7831 -1.708 0.1006 -0.9652 -0.2242 1.2558 -1.0315 0.91 1.2128
-2.5217 -2.4332 -2.7398 -2.2782 -2.3381 0.2069 -0.0745 -1.6924 2.1654 -2.5801 -1.025 2.9186
0.7441 0.7105 1.0143 1.1135 0.8269 0.2682 0.1946 1.5057 -1.2597 0.5172 1.4087 0.2513
0.5471 0.4851 0.2351 -0.1463 0.2276 0.0244 0.1443 0.3158 0.3048 -0.499 -0.5657 0.3299
-1.7414 -1.7921 -1.313 -1.9798 -2.5955 -1.986 -2.4596 0.7726 0.9763 0.7824 2.0781 -0.4513
-0.6094 -0.5176 -0.3853 -0.9536 -1.108 -1.4435 -0.68 -0.3464 -0.0067 2.4718 1.2265 -1.9163
-0.5578 -0.8159 -0.1389 -0.1706 -0.9692 -1.1924 -1.0535 1.9919 0.5498 0.1053 2.5736 -0.3461
-1.0107 -1.15 -1.2224 0.3451 -0.4693 1.9338 -1.3856 0.3196 1.0854 -1.8401 1.4218 0.3544
0.325 0.2885 0.3298 -0.1957 0.2917 0.0113 0.7542 -0.1727 -1.3173 1.7641 0.7816 -1.0585
0.3455 0.6633 0.576 -0.2205 0.2668 -0.2884 0.5895 1.4683 -0.4244 1.4828 1.1581 -0.6553
-0.3595 -0.3183 -0.3452 -0.2462 -0.6793 -0.9699 -1.2491 -0.6295 0.2081 0.5552 0.5331 -0.8428
-1.0438 -1.1339 -0.9099 -0.1619 -0.8466 -0.2376 -1.7902 0.9489 -0.1876 -1.2168 1.5792 0.3678
-1.1576 -1.1532 -1.306 -1.0409 -0.52 0.098 -1.2872 -0.8584 1.1042 -0.6819 -0.654 -0.4483
1.5479 1.5545 1.574 0.9656 0.9718 0.9215 0.3829 1.0529 -1.3698 1.1596 0.6299 -0.0894
-0.0436 0.2492 -0.1611 -0.4394 -0.1441 0.873 -1.5816 0.3244 -0.8785 1.6668 0.4026 -1.1837
-1.1225 -1.2404 -1.302 -0.3584 -0.5976 0.0904 -0.6916 -1.3408 0.9701 -1.1156 0.3618 0.9102
-0.0512 0.0932 -0.2155 0.0239 0.473 0.5819 -0.056 0.987 0.3263 -1.3268 -0.153 0.9245
-0.6496 -0.7496 -0.7188 0.3664 -0.3814 0.7174 -0.5453 0.8846 0.3325 -1.3221 1.5872 1.6086
-1.5795 -1.646 -1.6335 -0.6168 -1.3173 -1.2895 -0.7254 -0.127 1.4074 -0.5283 0.6128 1.5448
0.0857 0.2799 -0.1117 -0.6617 -0.0018 0.6667 0.6938 -0.9015 0.2298 1.4162 -0.6684 -0.462
0.0426 0.2021 -0.0268 -0.3336 -0.0698 0.9685 -0.7148 0.3091 0.1041 0.3721 -0.9257 -0.2919
1.3782 1.4483 1.2272 1.4316 1.9839 1.7266 1.5758 0.221 -1.1086 0.132 -0.1194 -0.4169
1.8424 1.8444 2.2298 0.5686 0.9322 0.5507 0.0483 2.2919 -2.2607 2.8069 1.0627 -2.4477
0.0101 -0.1148 -0.0545 0.8644 0.5805 1.614 1.5535 0.8448 -0.1897 -1.1767 0.2879 0.9834
0.5914 0.4657 0.4936 0.2409 0.5661 0.0686 -0.2028 0.6839 0.1432 0.332 -0.7183 -0.6345
-0.9794 -0.9255 -1.0611 -0.9867 -0.6698 -0.6789 -0.4527 0.7195 1.2345 0.2074 1.4872 0.1315
-0.3788 -0.5046 -0.9518 0.0665 0.0442 0.6841 0.3362 -1.632 0.2221 -1.1668 -0.8798 1.4303
0.2553 0.2835 0.1643 0.3896 0.2463 1.1526 -0.4945 0.3472 0.0357 0.2831 0.203 -0.5897
-0.3166 -0.4207 -0.5089 -0.5411 -0.1745 0.4374 -0.3452 -0.2509 0.4905 -0.7316 -0.5968 1.1583
-0.0658 -0.0378 -0.0419 0.394 0.1006 -1.051 0.9772 -0.4416 0.0916 -1.1345 -0.0209 1.8991
0.8805 0.596 0.6129 0.9461 1.4657 1.0403 0.0049 -0.7783 -1.0232 0.0581 -1.8079 -0.2208
-0.0817 -0.1118 -0.2436 0.0043 -0.5908 0.3371 -0.8381 1.2349 0.0312 0.0415 1.4372 -0.2027
-0.9715 -1.0028 -0.9699 -0.7192 -0.9851 -0.893 -1.9984 -1.1483 0.7029 -0.1397 -0.5009 0.2518
0.4232 0.338 -0.1384 0.5186 0.8613 -0.6505 1.7659 -0.0343 -0.0806 -0.8585 -0.0223 0.0674
-0.7159 -0.8171 -0.6074 -1.4557 -0.8027 -1.5781 -0.5346 0.2588 3e-04 1.4533 1.135 -0.9426
-0.5746 -0.5551 -0.6536 0.8814 0.1468 0.9145 -0.0754 -0.9463 0.6409 -2.3889 -1.0264 2.6271
0.9325 1.0292 0.9488 0.3027 0.6681 -0.4958 1.3121 -0.904 -0.869 1.4326 -0.4523 -0.8862
-0.858 -0.5962 -0.5649 -0.9315 -1.031 -1.7018 -1.4241 -0.2723 0.9293 0.0742 -0.5399 0.19
-0.1558 -0.162 -0.1011 -0.0603 0.5526 0.6716 -0.7172 -0.2461 0.487 -0.4001 0.0942 -0.5288
0.647 0.4893 0.3538 0.5859 0.7048 1.5174 1.7828 -0.3893 -1.1505 -1.141 -0.1177 1.2479
0.6216 0.6049 0.5657 0.5162 0.9651 -0.1807 0.5929 -0.0397 -0.5859 0.0182 -0.0694 0.0433
-2.7969 -2.561 -2.6881 -3.6112 -2.9517 -3.064 -1.9338 -0.7138 2.6821 0.2582 0.3339 -0.3527
-0.2874 -0.2729 -0.2264 -0.251 0.1883 0.5181 0.5601 -0.0588 0.466 -0.6833 -1.094 0.5795
0.1918 0.0437 -0.1168 0.2434 0.3676 0.7107 -0.216 -0.271 0.4153 -0.7209 -0.0913 0.7837
1.1088 0.9963 0.8447 1.4391 1.4801 1.5652 0.4513 0.9277 -1.356 -0.4719 0.1666 -0.5506
-0.7574 -0.8797 -0.6686 -0.1516 -0.9686 0.8885 0.5527 0.2588 0.1597 -1.4169 0.7445 0.692
1.2104 1.2172 1.1479 0.5794 0.7382 -0.5698 1.3931 0.0219 -0.7902 0.7666 -0.5734 -0.7663
-0.4751 -0.2662 -0.3821 -0.2606 -0.3919 -1.0478 -1.247 0.32 1.0211 -0.3065 -0.0306 -0.6339
-0.565 -0.4051 -0.2296 -1.1511 -0.8065 -0.6985 0.901 -0.1594 0.5013 1.41 -0.1998 -1.4407
